model,family,case,label,requests,elapsed_s,speedup,psnr,one_minus_lpips,point_kind
zimage,origin,origin,Origin50,6,49.491226859390736,1.0,inf,1.0,reference
zimage,freecache,freecache_f10,FreeCache F10,6,10.171232337752977,4.865804380034869,15.652029435141898,0.5412128617366155,preset
zimage,freecache,freecache_f17,FreeCache F17,6,17.044989500505228,2.9035645259813023,21.155322154911467,0.7663255656758944,preset
zimage,meancache,meancache_f25,MeanCache F25,6,24.948312794479232,1.9837504550745637,21.673607819428163,0.8117345323165258,reference
zimage,taylorseer,taylorseer_f3,TaylorSeer threshold 3,6,22.953758544288576,2.156127362057021,15.27887430922011,0.5826441620786985,reference
zimage,freecache,freecache_f25,FreeCache F25,6,24.95132423316439,1.9835110311944408,22.570665392723807,0.8389262134830157,preset
zimage,freecache,freecache_f13,FreeCache F13,6,13.113124780977765,3.7741749343515725,17.74881001078011,0.5840364595254263,extended
zimage,freecache,freecache_f31,FreeCache F31,6,30.82319031966229,1.605649069616911,26.529623783849903,0.894180421407024,extended
zimage,taylorseer,taylorseer_f4,TaylorSeer threshold 4,6,19.44526806132247,2.5451552893647715,14.286828822936789,0.5200331062078476,reference
zimage,pab,pab_i3,PAB interval 3,6,36.26791700658699,1.3646007530678457,15.710864281782717,0.6020987232526144,reference
zimage,pab,pab_i4,PAB interval 4,6,34.59490163779507,1.4305930792218635,14.64445528568892,0.5478309591611227,reference
zimage,meancache,meancache_f13,MeanCache F13,6,13.104493692827722,3.776660740924161,18.2396439908347,0.68001605818669,reference
zimage,meancache,meancache_f17,MeanCache F17,6,17.054171153965097,2.9020013000094713,18.71288636474722,0.6933917428056399,reference
zimage,taylorseer,taylorseer_f2,TaylorSeer threshold 2,6,29.897474532946944,1.6553647969446892,16.888154743649732,0.6615435083707174,reference
zimage,pab,pab_i2,PAB interval 2,6,39.54684646675984,1.2514582395587321,17.10462295601325,0.6951416631539663,reference
qwen,origin,origin,Origin50,6,61.26753829295436,1.0,inf,1.0,reference
qwen,magcache,magcache_official,MagCache official,6,45.71779075327019,1.3401246491459544,41.8722171016374,0.9929770767727556,reference
qwen,meancache,meancache_f25,MeanCache F25,6,30.895606118875246,1.9830502129402732,31.38161973518535,0.958237069969376,reference
qwen,magcache,magcache_low,MagCache low,6,52.98688773562511,1.1562773529678712,47.23870451960357,0.9981378511583898,reference
qwen,freecache,freecache_f10,FreeCache F10,6,12.547567340545356,4.882822034752394,22.01190632067705,0.8495811906953653,preset
qwen,freecache,freecache_f17,FreeCache F17,6,21.12784453574568,2.8998480270572475,28.064429643087266,0.9368655184904734,preset
qwen,meancache,meancache_f17,MeanCache F17,6,21.040194222082693,2.911928361794833,28.753087366302246,0.9434974994510412,reference
qwen,freecache,freecache_f31,FreeCache F31,6,38.24426547810435,1.6020058831573407,41.00162787630255,0.9919261261044691,extended
qwen,freecache,freecache_f25,FreeCache F25,6,30.952392041062314,1.9794120664947357,37.836432117321664,0.9851640112077197,preset
qwen,pab,pab_i2,PAB interval 2,6,46.96355897001922,1.3045761359795276,16.696501125066355,0.6924610094477733,reference
qwen,magcache,magcache_high,MagCache high,6,36.058512389039,1.699114418030688,29.0174736082191,0.9538110123636822,reference
qwen,freecache,freecache_f13,FreeCache F13,6,16.316517636490364,3.7549396052461126,28.79100093479938,0.9103365732977787,extended
qwen,pab,pab_i3,PAB interval 3,6,42.09454327107718,1.455474594376958,12.533027651724531,0.5188764582077662,reference
qwen,taylorseer,taylorseer_f3,TaylorSeer threshold 3,6,26.372993644637365,2.3231165607705817,18.78159165069093,0.7833194384972254,reference
qwen,meancache,meancache_f10,MeanCache F10,6,12.538320254534483,4.886423145141548,19.809968204477116,0.8152722467978796,reference
qwen,taylorseer,taylorseer_f4,TaylorSeer threshold 4,6,21.813237881908815,2.808731955551067,15.784175555361749,0.6728098342816035,reference
qwen,pab,pab_i4,PAB interval 4,6,39.733400929408766,1.5419656223690394,11.579394454336397,0.4720267156759898,reference
qwen,taylorseer,taylorseer_f2,TaylorSeer threshold 2,6,35.59156016881267,1.7214063671937718,23.096287031674816,0.8926008194684982,reference
flux,origin,origin,Origin50,6,32.61481350970765,1.0,inf,1.0,reference
flux,magcache,magcache_official,MagCache official,6,9.99234677044054,3.263979349294514,25.141263324178944,0.852331510434548,reference
flux,taylorseer,taylorseer_f2,TaylorSeer threshold 2,6,18.451658469003934,1.7675816818577978,25.6478747582716,0.9115871414542198,reference
flux,magcache,magcache_low,MagCache low,6,15.809668639364341,2.0629662932023978,28.14853644770465,0.9169098138809204,reference
flux,freecache,freecache_f10,FreeCache F10,6,6.782181449855368,4.808897218520034,22.76094764656029,0.7989053353667259,preset
flux,freecache,freecache_f17,FreeCache F17,6,11.261025547981262,2.896256062180272,27.278725113807607,0.915392060453693,preset
flux,taylorseer,taylorseer_f3,TaylorSeer threshold 3,6,13.790858602772156,2.364958879583583,20.436164775141194,0.8100507284204165,reference
flux,freecache,freecache_f31,FreeCache F31,6,20.332599277918536,1.6040651302820765,34.0859812757687,0.9718172905656198,extended
flux,freecache,freecache_f25,FreeCache F25,6,16.43642775497089,1.9843006032648374,31.029179919404225,0.9580020573921502,preset
flux,pab,pab_i2,PAB interval 2,6,25.406666797585785,1.2837108373778021,16.99971470726492,0.6863773912191391,reference
flux,magcache,magcache_high,MagCache high,6,8.079788159579039,4.036592651385417,21.17972245495433,0.7641339575250944,reference
flux,freecache,freecache_f13,FreeCache F13,6,8.675807928045591,3.759282568286966,24.416785059339745,0.862288431574901,extended
flux,pab,pab_i3,PAB interval 3,6,23.004980851896107,1.417728348468479,15.060618548139637,0.5941353638966879,reference
flux,teacache,teacache_t040,TeaCache 0.40,6,13.04956817968438,2.499302127137243,17.486449825913517,0.6804383968313535,reference
flux,taylorseer,taylorseer_f4,TaylorSeer threshold 4,6,10.947253400149444,2.97926907485876,18.193537881434985,0.7355638071894646,reference
flux,teacache,teacache_t060,TeaCache 0.60,6,10.039318029147884,3.248708071107488,16.271406310142915,0.630459189414978,reference
flux,pab,pab_i4,PAB interval 4,6,21.786170082787674,1.4970420861386384,14.162134358799415,0.5551928927501043,reference
flux,teacache,teacache_t020,TeaCache 0.20,6,20.420804378887016,1.5971365723197453,19.97596862155909,0.779426800707976,reference
