model,prompt_id,seed,steps,inject_step,anchor_gap,direction,relative_epsilon,epsilon,final_deviation,gain
flux,photo_cat,42,50,4,2,zoh,0.01,4.984516296386719,95.63896179199219,19.18721017349687
flux,photo_cat,42,50,6,2,zoh,0.01,4.917887573242187,105.39347076416016,21.430638499667452
flux,photo_cat,42,50,8,2,zoh,0.01,4.8507843017578125,94.6804428100586,19.518584402062277
flux,photo_cat,42,50,10,2,zoh,0.01,4.783642883300781,70.37789154052734,14.71219596809986
flux,photo_cat,42,50,13,2,zoh,0.01,4.683419799804688,71.79735565185547,15.330113190974172
flux,photo_cat,42,50,16,2,zoh,0.01,4.58552734375,67.71857452392578,14.767892424897457
flux,photo_cat,42,50,20,2,zoh,0.01,4.4659033203125,58.34089279174805,13.06362646195074
flux,photo_cat,42,50,24,2,zoh,0.01,4.3765625,44.574642181396484,10.184852194249821
flux,photo_cat,42,50,28,2,zoh,0.01,4.343341064453125,32.31874465942383,7.440987060382539
flux,photo_cat,42,50,32,2,zoh,0.01,4.407970581054688,27.604536056518555,6.262413858922276
flux,photo_cat,42,50,36,2,zoh,0.01,4.632872314453125,18.635786056518555,4.022512340428784
flux,photo_cat,42,50,40,2,zoh,0.01,5.1033193969726565,17.64242172241211,3.4570483150393807
flux,photo_cat,42,50,43,2,zoh,0.01,5.680143432617188,14.429591178894043,2.540356832546648
flux,photo_cat,42,50,45,2,zoh,0.01,6.202833251953125,13.406293869018555,2.161317792123016
flux,photo_cat,42,50,47,2,zoh,0.01,6.860942993164063,8.609378814697266,1.2548389956417458
flux,photo_cat,42,50,48,2,zoh,0.01,7.2521533203125,5.992027282714844,0.8262411201279792
flux,market_sign,42,50,4,2,zoh,0.01,4.9807568359375,228.10354614257812,45.79696493045991
flux,market_sign,42,50,6,2,zoh,0.01,4.909459838867187,188.40769958496094,38.37646212998338
flux,market_sign,42,50,8,2,zoh,0.01,4.835862426757813,132.44235229492188,27.387535170994802
flux,market_sign,42,50,10,2,zoh,0.01,4.760263366699219,125.84649658203125,26.436876888451152
flux,market_sign,42,50,13,2,zoh,0.01,4.6430810546875,94.82711029052734,20.42331571937411
flux,market_sign,42,50,16,2,zoh,0.01,4.522341918945313,103.45230102539062,22.875824711970797
flux,market_sign,42,50,20,2,zoh,0.01,4.359352111816406,68.87904357910156,15.800293670336671
flux,market_sign,42,50,24,2,zoh,0.01,4.201955261230469,65.04622650146484,15.479990256349659
flux,market_sign,42,50,28,2,zoh,0.01,4.063918151855469,30.90036392211914,7.603589139218003
flux,market_sign,42,50,32,2,zoh,0.01,3.9732986450195313,24.282014846801758,6.111298700700208
flux,market_sign,42,50,36,2,zoh,0.01,3.9794842529296877,20.02106475830078,5.031070230661503
flux,market_sign,42,50,40,2,zoh,0.01,4.161558532714844,14.356269836425781,3.4497339695136504
flux,market_sign,42,50,43,2,zoh,0.01,4.477943420410156,11.604947090148926,2.5915796607108477
flux,market_sign,42,50,45,2,zoh,0.01,4.807218933105469,9.730006217956543,2.0240405842450255
flux,market_sign,42,50,47,2,zoh,0.01,5.2553039550781255,5.7124128341674805,1.0869804835261065
flux,market_sign,42,50,48,2,zoh,0.01,5.532667846679687,4.554627895355225,0.8232245313783996
