model,prompt_id,seed,steps,inject_step,anchor_gap,direction,relative_epsilon,epsilon,final_deviation,gain
qwen,photo_cat,42,50,4,2,zoh,0.01,4.938399047851562,52.459869384765625,10.622849404522738
qwen,photo_cat,42,50,6,2,zoh,0.01,4.826417541503907,23.24953842163086,4.817141952949708
qwen,photo_cat,42,50,8,2,zoh,0.01,4.708727416992188,19.037708282470703,4.043068667294293
qwen,photo_cat,42,50,10,2,zoh,0.01,4.585364685058594,27.20716094970703,5.933478102267751
qwen,photo_cat,42,50,13,2,zoh,0.01,4.391755065917969,12.382513046264648,2.819490809576022
qwen,photo_cat,42,50,16,2,zoh,0.01,4.188734436035157,12.019984245300293,2.869598068068932
qwen,photo_cat,42,50,20,2,zoh,0.01,3.9040316772460937,7.575682163238525,1.9404766122651997
qwen,photo_cat,42,50,24,2,zoh,0.01,3.6043060302734378,6.962629795074463,1.9317532242250386
qwen,photo_cat,42,50,28,2,zoh,0.01,3.2965347290039064,5.11674165725708,1.5521576679409577
qwen,photo_cat,42,50,32,2,zoh,0.01,2.9930541992187503,4.669658660888672,1.5601650855863387
qwen,photo_cat,42,50,36,2,zoh,0.01,2.715692138671875,3.35512638092041,1.2354590320246146
qwen,photo_cat,42,50,40,2,zoh,0.01,2.5124783325195312,3.065190315246582,1.2199867658849768
qwen,photo_cat,42,50,43,2,zoh,0.01,2.453807830810547,2.9607949256896973,1.2066123876993584
qwen,photo_cat,42,50,45,2,zoh,0.01,2.4780979919433594,2.9408793449401855,1.1867486090144104
qwen,photo_cat,42,50,47,2,zoh,0.01,2.5663165283203124,3.0279381275177,1.1798771095082043
qwen,photo_cat,42,50,48,2,zoh,0.01,2.636754150390625,2.8127803802490234,1.066758681249187
qwen,market_sign,42,50,4,2,zoh,0.01,4.926972961425782,79.22309112548828,16.07946537270269
qwen,market_sign,42,50,6,2,zoh,0.01,4.818458862304688,114.23056030273438,23.706866358530547
qwen,market_sign,42,50,8,2,zoh,0.01,4.703049011230469,88.0139389038086,18.71422957609819
qwen,market_sign,42,50,10,2,zoh,0.01,4.582581176757812,69.84320831298828,15.241019333650414
qwen,market_sign,42,50,13,2,zoh,0.01,4.39288818359375,61.86847686767578,14.083781394376897
qwen,market_sign,42,50,16,2,zoh,0.01,4.193919372558594,51.94186019897461,12.38504024155484
qwen,market_sign,42,50,20,2,zoh,0.01,3.9120190429687502,32.295108795166016,8.255355723078978
qwen,market_sign,42,50,24,2,zoh,0.01,3.6125564575195312,22.62081527709961,6.261719517217347
qwen,market_sign,42,50,28,2,zoh,0.01,3.3000613403320314,17.954391479492188,5.4406235605565225
qwen,market_sign,42,50,32,2,zoh,0.01,2.986507568359375,10.282843589782715,3.4430997927895928
qwen,market_sign,42,50,36,2,zoh,0.01,2.6916900634765626,6.521630764007568,2.4228758178734324
qwen,market_sign,42,50,40,2,zoh,0.01,2.461928253173828,3.746047258377075,1.5215907504809727
qwen,market_sign,42,50,43,2,zoh,0.01,2.3771270751953124,3.168333053588867,1.3328412631573543
qwen,market_sign,42,50,45,2,zoh,0.01,2.383596649169922,2.9159095287323,1.2233233881024936
qwen,market_sign,42,50,47,2,zoh,0.01,2.454606628417969,2.7742881774902344,1.130237385237693
qwen,market_sign,42,50,48,2,zoh,0.01,2.5173692321777343,2.632662773132324,1.0457992174850137
