model,prompt_id,seed,steps,inject_step,anchor_gap,direction,relative_epsilon,epsilon,final_deviation,gain
zimage,photo_cat,42,50,4,2,zoh,0.1,50.569635009765626,1044.0810546875,20.64640281635165
zimage,photo_cat,42,50,6,2,zoh,0.1,50.27757873535157,660.5636596679688,13.13833474648826
zimage,photo_cat,42,50,8,2,zoh,0.1,49.960870361328126,743.8800048828125,14.889252318922926
zimage,photo_cat,42,50,10,2,zoh,0.1,49.60338134765625,557.1590576171875,11.232279785771361
zimage,photo_cat,42,50,13,2,zoh,0.1,48.982400512695314,406.3155212402344,8.295132884206543
zimage,photo_cat,42,50,16,2,zoh,0.1,48.2799560546875,368.38690185546875,7.630224464955826
zimage,photo_cat,42,50,20,2,zoh,0.1,47.16758422851563,238.58799743652344,5.058304370234902
zimage,photo_cat,42,50,24,2,zoh,0.1,45.81307373046875,149.2721710205078,3.258287621099561
zimage,photo_cat,42,50,28,2,zoh,0.1,44.16912536621094,129.99659729003906,2.9431553423850567
zimage,photo_cat,42,50,32,2,zoh,0.1,42.23380737304688,113.26252746582031,2.6817976997760122
zimage,photo_cat,42,50,36,2,zoh,0.1,40.148294067382814,87.40201568603516,2.176979563299605
zimage,photo_cat,42,50,40,2,zoh,0.1,38.58905944824219,70.2404556274414,1.8202168342986396
zimage,photo_cat,42,50,43,2,zoh,0.1,38.95465698242188,56.8194694519043,1.4586053081546537
zimage,photo_cat,42,50,45,2,zoh,0.1,41.043737792968756,52.624267578125,1.2821509542715215
zimage,photo_cat,42,50,47,2,zoh,0.1,46.01366271972657,41.922210693359375,0.9110818008275368
zimage,photo_cat,42,50,48,2,zoh,0.1,50.17126159667969,50.17189025878906,1.0000125303229253
zimage,market_sign,42,50,4,2,zoh,0.1,50.60281677246094,967.804931640625,19.12551500823416
zimage,market_sign,42,50,6,2,zoh,0.1,50.31137390136719,739.52294921875,14.698921772014137
zimage,market_sign,42,50,8,2,zoh,0.1,49.99216003417969,759.7061767578125,15.196506336961647
zimage,market_sign,42,50,10,2,zoh,0.1,49.64266662597657,631.4114379882812,12.719128139218089
zimage,market_sign,42,50,13,2,zoh,0.1,49.043582153320315,468.5609436035156,9.5539706324611
zimage,market_sign,42,50,16,2,zoh,0.1,48.35170288085938,377.3014221191406,7.803270611767845
zimage,market_sign,42,50,20,2,zoh,0.1,47.25014343261719,327.72174072265625,6.935888801904187
zimage,market_sign,42,50,24,2,zoh,0.1,45.899462890625,240.82305908203125,5.246751136410782
zimage,market_sign,42,50,28,2,zoh,0.1,44.275158691406254,170.47557067871094,3.850366113126998
zimage,market_sign,42,50,32,2,zoh,0.1,42.34334106445313,122.50801086425781,2.893206057542357
zimage,market_sign,42,50,36,2,zoh,0.1,40.261224365234376,110.13136291503906,2.7354201133072755
zimage,market_sign,42,50,40,2,zoh,0.1,38.591223144531256,76.58661651611328,1.984560484887516
zimage,market_sign,42,50,43,2,zoh,0.1,38.784915161132815,59.701480865478516,1.5392964150481534
zimage,market_sign,42,50,45,2,zoh,0.1,40.7303955078125,51.57588577270508,1.2662751031428678
zimage,market_sign,42,50,47,2,zoh,0.1,45.529577636718756,39.02030563354492,0.8570320143289837
zimage,market_sign,42,50,48,2,zoh,0.1,49.609100341796875,49.60921859741211,1.0000023837484338
